"distribution: [0,3,3,2,2,2,1,1,1,0,0,0]"
"words: 200"
"errors: 266"
"haskell demerits lower: 265"
"seeds: "
"Equal -1490081304084660436, 3562477082869650716"
"Equal 8339024250413924411, -5819354444653514241"
"Equal -4127400675405776524, -2903084829089254984"
"Equal -405869087163801400, 3566564216814299139"
"Equal -296354572765568751, -6518873061425464860"
"Equal -6128290530625764487, -2555625612429783385"
"Equal -7906269897071502259, -3476620789876167866"
"Equal -8174618046753643630, 6770873268821212755"
"Equal -6114932057678465697, 7383538667422133013"
"Equal -651126509929795882, 5008495323176398678"
"Equal -6840035586679984096, -8976062716408910759"
"Equal -1125866606098453511, -3334574776039358540"
"Equal -4015617603089970347, -7106679120109194303"
"Equal -1193025349247527675, -4553723835544774836"
"Equal -598269741488275739, -2820879251480387165"
"Equal -8608895871279037603, 2831275658709396930"
"Equal -2868115733108535729, -4490599081824688442"
"Equal -7602317557879386708, -8037953030615461352"
"Equal 2213445162506661046, -8850530728599106116"
"Equal -651073237552480364, 4946612197948142159"
"Equal -3260500204653182196, 6039754707212885723"
"Equal -7841172552058872896, 3417383516157111459"
"Equal -1938617560174715682, 8317172258101268248"
"Equal 4234357926180365760, 903881168513356340"
"Equal 4913721278329128848, 4762962554668882971"
"Equal -8343802484276821011, -1081049067025746554"
"Equal -8578316960558732925, 2663495910633951863"
"Equal -744104465443857345, -7783426231329016439"
"Equal -3079974773559705894, 2252491566446497337"
"Equal 8092762348458364984, 2055195433829734782"
"Equal 7235830200513169224, -8134313916145758676"
"Equal -1365915005431851622, 8046765422497028106"
"Equal 720522372727519643, 8453549130018387035"
"Equal 4762228849519302292, 4737340168294191399"
"Equal -8815985363456666552, 5797863255960651993"
"Equal -6157553816775044498, 8429191794681696032"
"Equal -2255874735424426639, 8855576322021386045"
"Equal 737018882175413572, -4606454660054305315"
"Equal -9188207267526934533, -4781277342021385569"
"Equal -1424927654210466662, -3146271417521580177"
"Equal 880254122045156826, -8339938464206130250"
"Equal 4761016775984020436, 8269213242730399892"
"Equal 624838239265110262, 2618282325871589595"
"Equal 8452272764197554245, 7251888449888517037"
"Equal -2548328017324854915, -6883964708008504399"
"Equal -321661801253441582, 8728853120805100316"
"Equal 3764474242978124175, 5824389242270768384"
"Equal -742182317735586944, 8587338913386946389"
"Equal 1910749610516753350, 3051354284329418836"
"Equal -4211635857877556194, 6713155840897685665"
"Equal 2363370407692061742, 771343569157542188"
"Equal -4715806127507488788, -4449760615610213373"
"Equal -635788570590113443, -1596572711590023162"
"Equal 7621869644086649006, 2689692991452672084"
"Equal 7733954714631897005, -5231667003762393805"
"Equal -4216636104949488173, 349173469469863203"
"Equal 3102714933687189614, 6854911813998434916"
"Equal 1105984548544245313, 7029423115245066694"
"Equal 1062674411238978729, 7262702616074009157"
"Equal 798220633614243214, -4878091995294274047"
"Equal 2384403095496764748, -8012128896944090276"
"Equal -2719775573766192796, 3632812814752950379"
"Equal -1047965047880818297, -1188005632239540131"
"Equal -5338366663287426356, 758300450061551257"
"Equal -3351670033771213209, -7621259566555026238"
"Equal 8798360806362860943, 5269458952478989597"
"Equal 2230968332510699818, 100730300103550750"
"Equal 5918962264057335280, 7007163984752186448"
"Equal 615127633244790301, 360621851247208964"
"Equal -5708073181349168344, 1846124373052832428"
"Equal 2230138103859066660, -3708486565652325076"
"Equal -1483042478326495110, 5439190428288742668"
"Haskell lower -8118106000567434077, -7509002887127678962"
"Equal -3197707825603824316, -5852443072333842375"
"Equal -4363529391388352793, 2183494826553091898"
"Equal 4665953835501270814, 5025415293888169962"
"Equal -8085840356410151690, -6203117846746598411"
"Equal 3439535502240843090, -6700663103572791142"
"Equal 158065300562393937, 1437069090418885134"
"Equal 8242933336574329204, -8656497907902798900"
"Equal 7298319427414899102, 8011509095688069846"
"Equal 2231799077394855426, 751941692330925485"
"Equal 566927846674008128, -1038908245108595065"
"Equal 1846252442238766256, -2312709681826544426"
"Equal 2659465695029658526, -4813113261859141518"
"Equal 1447512521001440677, -4070682110315773509"
"Equal -3734960670938399230, 8322304239846615582"
"Equal -7097859173106210054, -3207895043698129827"
"Equal 1605612097624200649, 1958214659965829724"
"Equal -5747694153218337579, 2910230303530638398"
"Equal -1628097027932648313, 8717286988002071122"
"Equal -3991501083477831650, 4987678820662649113"
"Equal -7312025888048908519, 2819772618983058963"
"Equal -1604855762256390681, 2676827930123036868"
"Equal -4088950531540077595, -8610341563472489271"
"Equal 5723165360500809109, 93300565097468972"
"Equal -2706613700785312736, 727816676994167314"
"Equal 7790120906398804536, -4476034058252201798"
"Equal -416532030911380326, -6470505500016886277"
"Equal 2998358273276862300, -4724926942817989049"
"Equal -8418271081115246141, 2151579321491939730"
"Equal 3134453735606381798, 2261520231697748051"
"Equal -4852491032954163456, 4729556099045643091"
"Equal -4631300775035176445, 1598797217129112232"
"Equal 5833856589049696321, 7539547159761141169"
"Equal 1038947254047908657, -8100394951394938114"
"Equal -8292257101631948995, -5410704300468612608"
"Equal -7823324841258033673, -6086917988304511508"
"Equal -8674626292866766074, -5531596365121477623"
"Equal 4590529538620300286, -7404366163767040931"
"Equal -1734423936597295420, -2498013769862750066"
"Equal 2748138959116441084, 4843509543070859991"
"Equal 7077141762940175091, 9170500499969778310"
"Equal 5595621911937285689, -684709747214526704"
"Equal -6207107588728794494, 6886860669271011912"
"Equal -6802837360784472888, 7048200273597974291"
"Equal 3932450625058521562, 2171521138252462405"
"Haskell lower -7563668029023224454, 7611833218981029333"
"Equal 5755968058436254268, -2308827438057757967"
"Haskell lower -4942591361359261807, -3783267954811797963"
"Haskell lower 1012263264151585315, 7883520606638853378"
"Equal -2643055912759766677, -7974390813690452008"
"Equal 4951539432195524153, -5430510844722948943"
"Equal 6441783611407587554, -2827675242169415156"
"Equal 1411977624582848090, 6792303769254942779"
"Equal -9124176116551812748, 4100653016844961508"
"Equal -3353802963273417002, 8508708912571139926"
"Equal -1485453409597521891, 5975813701047667359"
"Equal 1542408954643126568, -4562413552328879036"
"Equal -7682545787889265845, 5085372104125559591"
"Equal -103016088469319319, 124480605240247228"
"Equal -3723121527233973918, -3448968653703377158"
"Equal -4421884944806104339, -6545402924725834221"
"Equal -3979688653648121316, 4263581622739754896"
"Equal 9057609889476833028, -8676309082492685368"
"Haskell lower -8746846460665334543, 382182275339591317"
"Equal -2166473610335096453, 6791450234608803486"
"Equal 6111317180905174200, -7737973103434209566"
"Equal -3786854199889798475, 3938280418760032158"
"Equal 5207994351891218208, 852962749177503599"
"Equal 4075404597865833409, -1465355278389735196"
"Haskell lower 7947156580331029329, 2936474125167944429"
"Equal -5263158736546158250, 3915646216001106656"
"Equal 4533064316711485444, 6810184882235109510"
"Equal -2123018483466745539, 4765457938861448090"
"Equal 9018433566705670899, -480920786237881625"
"Equal 6008854532657466110, -2282084189483416946"
"Equal -6503858696501128524, 8763142952896900367"
"Equal -112544456052638541, -6691249964929251230"
"Equal 6542776154714435900, 863155207198101381"
"Equal 2816330050829712513, 4643223858650418011"
"Equal 4814438879983339806, 5889047315460577516"
"Equal -2836126722687376013, -6482640926195020488"
"Equal 2413697925534416380, 4721842291826585641"
"Equal -4204712991877774400, -6616914634359274621"
"Equal 4621046455470630655, 4501008847035857087"
"Haskell lower 3414170482846582549, 1213057775562774838"
"Equal 8238853519517017688, 305527707401532622"
"Equal 5388280956483357362, -8105642455483262784"
"Equal 3108720322931186624, 1647942458296979564"
"Equal -5155324881770193361, -4394475721421113612"
"Equal -3555523073072762537, 843376759498734892"
"Equal 4040626025322408372, -2425425697882404946"
"Equal 7643775212381666706, 3394740383742518992"
"Equal 2543149936341287688, 9036114352196390775"
"Equal -1100535032883718694, 6941976887252820867"
"Equal 3723422559687691283, -7182185905620385419"
"Equal 5920130932447477270, 4377411891527435554"
"Equal -8816891681645961555, 1815846629838482362"
"Equal -2938976621490219518, 4255318565986427526"
"Equal -8952775988873623665, 1480706976722169411"
"Equal -9126040905368435540, -9156564773487919600"
"Equal 6122581224115772674, 4403828918730435611"
"Equal 1579326908403292160, -8412251350493876508"
"Equal -6284744475310323450, -7434780921045942581"
"Equal -1102937976332129118, -5580801605846844346"
"Equal -3553004455805575697, -8702314624366501860"
"Equal 4761212204318509191, 6050283521015339794"
"Equal 3328098294114579331, 6903159661607732377"
"Equal 3921529829427139699, -8513827545866446556"
"Equal 3454664973977180030, 6123315622734896565"
"Equal 795005599282976925, 2699689779355837742"
"Equal 1629153378548085955, -4973431289947697753"
"Equal -8245511799104523246, 2639551456696539314"
"Equal 26871206157307540, 6923920948684710512"
"Equal -1398302853101266387, 502692785849654279"
"Equal 921122654680709516, 2046308423546726680"
"Equal -417936837929651167, 7000045213800125221"
"Equal 5785174479317865411, 1438521038835691417"
"Equal 5039814027106497865, 6778083725363870375"
"Equal -4555285025272005122, -9133463160225656737"
"Equal 9174695217289829993, 828836563781715081"
"Equal 310311517032245535, 8650218137610416014"
"Equal 8969178362755394398, 5294630104538094517"
"Equal -2495597290610625538, 8644136207536875338"
"Equal 5644580837960747373, 869348655970530033"
"Equal 6546083504049171147, 4808712976018701839"
"Equal -5704064770919433476, 3036034893542989959"
"Equal 1352408515889874920, -3351791529544041632"
"Haskell lower 191536452242041757, 6968768087961576876"
"Equal 1049058562995546811, 4588531934235145378"
"Equal 7074115546884269939, -692177455344164178"
"Equal 6835681835000451992, -2435360616603484432"
"Equal -3585016014352569314, 138258661307835150"
"Equal -2431713548521029232, 3018401247686813798"
"Equal -1776423849380960927, -8154429046929263761"
"Equal 8876003413727724789, 7190918852794593488"
"Equal 4205264087926823339, -5999537505966178588"
"Equal 7087213899546056904, -6070512719215699260"
"Equal 174122111699218033, 1152834824082498268"
"Equal -2053801948532805244, -8798566336454133406"
"Equal -3732339179616859103, -2350040314262286153"
"Equal 7272226647186671871, -5944024116687980125"
"Equal 5046530741339574650, 9055414295280521876"
"Equal 768529026148417088, 4497836424853773623"
"Equal -4856819589677938640, -3105351266173971005"
"Equal -1241052364648852356, 5479164132950025081"
"Equal -2235731176893646212, -5159443488033443948"
"Equal -6649524668021214321, 7607874285538623418"
"Equal -6872359335640576636, 8398308663254029216"
"Equal 5368884710637451478, -4186951750085597436"
"Equal 6042143041819625797, -363459357123150190"
"Equal 6793080292754757910, -2230639858244274882"
"Equal -1085543819351383250, 864313087895934812"
"Equal -8304031935890480586, -5148656222452707125"
"Equal -213386274217197649, -4512342578588813188"
"Equal -9064554589200490558, 8456355518578301135"
"Equal -561752079797563371, 8170011363962530749"
"Equal -8206658490005139181, -4174671219839370703"
"Equal -649545942301109685, -6770488127057421327"
"Equal 3949917049919742539, -1788859001948802516"
"Equal -3191039952313210039, 6664188313104707082"
"Equal 901523703980293041, -593085295449421958"
"Equal 5651564970732091393, -2718677498154986221"
"Equal -1164745211733239917, -4993377569209213380"
"Equal -8420521188126403137, -4998456434512566315"
"Equal 7198479197584721933, 20335628919807630"
"Equal -3972588225894030582, -4358115198716699680"
"Equal -4076831847738878457, -7896187682855978792"
"Equal 7156110015603067476, -5515222580049285466"
"Equal -8232355922361091752, 997192937681176442"
"Equal 2924647240908521105, 4409248550170149232"
"Equal 5662419696934127066, 4967458873229598470"
"Equal 1295183940266071601, -5532580417184703205"
"Equal -2697474362851070613, -172782447002363957"
"Equal -4238590062653969593, 4255891151770122279"
"Equal 4869759919124688425, 5321067268705888458"
"Equal 3025045995663883451, -5687316533005892004"
"Equal 8819812482899743262, -2103184589633582827"
"Equal -6355384510530842120, 1254743669736248047"
"Equal -3647089956931736191, 5120045431685464725"
"Equal -3661470360754027758, -3172692317360065342"
"Equal 720602487364580251, 7447241684304811725"
"Equal -3824564609223304573, 4753840758571479291"
"Equal -6421440987416623656, -7319424741330172654"
"Equal -6599637788260955164, -2041695053773639213"
"Equal -1864517911057511478, 525130329280698703"
"Equal -285969334293725202, 3144197434415996157"
"Equal -7831891284135737058, 5460305788153970524"
"Equal -2383327805859574952, 7975187547128121210"
"Equal -7364861822740142692, -4079053551247790247"
"Equal 8170068588515932099, 6557711137240979095"
"Equal -1823434066504955922, -2476202361820574206"
"Equal 4452040185653841676, 6622976454241403876"
"Equal 357780667176144171, 6754174574352100453"
"Equal 1473338340660444098, -3417526867459602354"
"Equal -5438083935790156173, 5697097862487683794"
"Haskell lower 1422149859993911897, 3146897551204135009"
"Equal -834088950310693894, 1699217718173176711"
"Equal -4167452856092806238, 8639960603809116776"
"Equal -6542418780613408169, -5963858390432042508"
"Equal -4118346912171740478, 2646272192862727296"
"Equal 2250913976103496714, -6915926899122753178"
"Equal -8485150364392977524, -3127243656609013872"
"Equal -7658543069446668424, 7352887483116722936"
"Equal 7243482125936151623, 2580189093955220449"
"Equal 8713455087753810010, 7013682215874496268"
"Equal -3518703295962317487, 3532757869366462069"
"Equal 311829125424627195, 4865758177150497511"
"Equal 8986573075269691675, -575939040195832626"
"Equal -10957180044330761, 4900473500191316548"
"Equal 7332372391398601434, 8759872924214323052"
"Equal 6211253895885906751, -1798123995801574411"
"Equal -7034282227941984846, -7610762266446920226"
"Equal 4155237338637090598, -6935711979584716945"
"Equal -197792708517494470, 2384885304402072018"
"Equal 5980912802884255749, 8627524564796868071"
"Equal 5954908085511597080, 5691140597052297859"
"Equal -4191416872397238404, 8340273886891687679"
"Equal 7360599803905662188, 5217758903157098177"
"Equal -4777227110950247183, 8337592059170381606"
"Equal 5117810807837768737, -2983500729124136690"
"Equal -1859806831556005764, 1187676021595584592"
"Equal -972983681807036957, 4768595258191516962"
"Equal -6692083175333403449, 8818697581503707542"
"Equal 8448535114122199679, 2107157903501730223"
"Equal -1047441220890097590, 5143207057767960331"
"Equal 3349381646232114581, 186615019925580621"
"Equal -5196657499951063618, -3739258905635422499"
"Equal -8136348847137382570, 505129111953986070"
"Equal 3475212519575765339, -1269465052057105929"
"Equal -4421626086344933532, -8719765207033622138"
"Equal -9108964889023671960, 3191570939374890664"
"Equal 796757144072413493, -4971558310527780341"
"Equal 3862911933576100244, -7310425303564624263"
"Equal -8913306028774949490, -8066777670230396958"
"Equal 4550418206024753904, -1693119501793229979"
"Equal -3728644874639465578, 1305642954164280447"
"Equal -3640849393705445032, -1931063156699505952"
"Equal 8014709393586743876, 1189197096424533453"
"Equal -8040787795472791160, 4198263568943062703"
"Equal 2749693943793121079, -3599163565782616423"
"Equal 1470218738016860909, 4706069867739875541"
"Equal 4806285970812371980, -4847718014058775018"
"Equal 4031262763514517278, 7704833980793547505"
"Equal 8001611193359402647, -1675493778983629129"
"Equal 362771073650229978, -2680043158121353019"
"Equal 2218946086310929402, 708133000339694414"
"Equal 5785108110247005950, 5968599469337200029"
"Equal -5661118277147039152, -8919289762706499910"
"Equal -8906849144848106840, -4387143950508812748"
"Equal 4951527563858809160, -3216360694190783652"
"Equal -6541273501954069759, 6827478326350524714"
"Equal -2164816721523080684, -1078106366607287691"
"Equal -7198313587771545047, 4821913375186510836"
"Equal 4314356629181119915, 8609883258389396907"
"Equal 4169775526979117917, -6515043375072879654"
"Equal -1902535774306424746, 5035524838591794977"
"Equal -7808299598295964432, -7197293267970405763"
"Equal -3312172360173803863, -4718338384907157757"
"Equal 311336662745841822, 3717200182099769135"
"Equal -6797549353893300664, 7167341941260647062"
"Equal 6011322073471588059, -7269678022258887047"
"Equal -7657023762413757685, -3174519715427231211"
"Equal 5241297236385986955, 8512029025772346222"
"Equal 7561142260888498651, 8945856401775455019"
"Equal -1325054623669222414, -7430056400310250910"
"Equal 651892723168554907, 4424697642730023753"
"Equal 7183831256557769609, -85479568673685049"
"Equal 4636072784138346457, 1697045046674473586"
"Equal 5396007899759931140, -3584908990120800668"
"Equal -1262453477209642178, 8269204918171936265"
"Equal -2891302388173178135, -2503492543815021030"
"Equal -7161166461224061608, -4023181530449908412"
"Equal 8185676799770117354, -8451549349633174712"
"Equal 8411288131118217572, 6477536947216616560"
"Equal 5892652796128871160, -8346986987683058975"
"Equal 5764846614353642288, 8228816978831897916"
"Equal 4987535959377775037, -3886122774235755327"
"Equal 1997323735145474042, 3477646764347354452"
"Equal 7157536793465781969, 8379373757930927213"
"Equal -516248535575455177, 8863267755627617378"
"Equal 5030805897922837823, -7043371035199026330"
"Equal 515044775515499272, 78294965362880273"
"Equal 3176431427030154842, 6366463121986926206"
"Equal 7007332182409842728, 4389861757410373664"
"Equal 7247153997248143233, 7054517808394223076"
"Equal 7225078307313933759, 1089947764464216617"
"Equal 2281269097075911721, -6947920015241630105"
"Equal -1981006704543136439, 2275015981004475758"
"Equal 3141396589542076423, 1168799381042911177"
"Equal -6251284964464803864, -458020287912548628"
"Equal 8938108177280454232, 6011799299070403205"
"Equal 3189061660426308273, 7366160233461408793"
"Equal 6941137779585320203, 1593869208305925567"
"Equal 7091579409305144709, -6118279808999082791"
"Equal -158721044050611230, -6678992873305350474"
"Haskell lower -1027427702449869001, 2194842609502327063"
"Equal 7864296118227889069, -7417096706834525798"
"Equal 1545571424493139018, 2394974506054182286"
"Equal 509828411127713366, -7230724721410985486"
"Equal -1276766054916756698, 328271282765763727"
"Equal -3594441500658605671, 8514076258717637266"
"Equal -4953824853730418187, 3608406987270564124"
"Equal -8444256377369658645, 4869373213206766529"
"Equal 1126554207306569377, 1850391452939229976"
"Equal -1493188482481453686, -6243077828398211724"
"Equal 2727101247929318420, 867833535534078579"
"Equal 7757232281570047195, 8685963256699159257"
"Equal 4808417646929258144, 6489523025680124100"
"Equal 1600634176602526013, 7616984026603221444"
"Equal -452252391824398274, 9191047675500309882"
"Equal 3548230953315752, -4046831206982456868"
"Equal -3474585108231629029, -7694990630622942537"
"Equal -1556459248558287241, -3721059387587964946"
"Equal 1614189030965651134, -8956874026465377965"
"Equal -5198917071862237505, 8265049634501525357"
"Equal -7954711099592917389, -8696045574809159690"
"Equal -8957982612207543507, 6419052353569468501"
"Equal -6691705617919300448, 6838429185196269806"
"Equal -5399933146031649335, -4379615259656798047"
"Equal -1668356722595982829, 6048210435434606260"
"Equal 1004084439641813714, 8354032674949292075"
"Equal 1537852637339329761, 899115819807230493"
"Equal 929793618005904768, 6377398837101732381"
"Equal -6450848315298565933, 2652455959308875007"
"Haskell lower -6659332756553461632, -9137737925800243950"
"Equal 5207951382290009122, -9136850938264033369"
"Equal 7047338215092336274, 2444523343154913403"
"Equal -6206708835724318432, -1762875262598654869"
"Equal -8429313785062360424, 2328094832495571630"
"Equal -4650654560347114331, -648533805501457683"
"Equal -3253914355753550079, -7337719580023874175"
"Equal 5418730568692665265, 8230073888199103562"
"Equal -2626111763255624520, 1610613943791046551"
"Equal 6076044423320837984, 5320862155075259817"
"Equal -720237066946531032, 1143072531818110413"
"Equal 3688923614199752520, -4034512365232272886"
"Equal -8884641155305251951, 6248434202302976596"
"Equal 6853392943259102362, -2461431658470894605"
"Equal -8409908687226221926, 7249882248743292385"
"Equal 2358760554657091121, 5009278168465942202"
"Equal 3271844040598145751, 6584788433055814132"
"Equal -636592010958937854, 8963009049716852941"
"Equal -5108138577368799475, -1869829134700878391"
"Equal 8574944409742554979, -2684386048235692950"
"Equal 1759546364455377788, -6527504735515935170"
"Equal 2243935044840715586, 6693998411476267285"
"Equal 2957171786702946155, 7839730450599325639"
"Equal -312080380032265963, 6973351653916534448"
"Equal -2664831241127182364, -4224981638758523789"
"Equal -1040242422629530112, 9161980949851623075"
"Equal 7986388429609416811, 8780779562097740632"
"Equal 2911909880904904569, -3717958396949601972"
"Equal 7150192971002939636, 6845443882683418455"
"Equal -3116012080521120243, -5052234554935579239"
"Equal -5070789985218207310, 4107656562438890575"
"Equal 731068268701202824, -6047404786988795688"
"Equal 153512869581949577, 7346603297615720471"
"Equal 7444126646722405617, -7873935609172311337"
"Equal -7176412453426178420, 5783954325073744591"
"Equal -4849429625322918943, 9059258336392827404"
"Equal 3621924295288515261, -4093604739573894034"
"Equal 7778811829512172594, 2151597493429477700"
"Equal 7258353703626688961, -5507391237703551682"
"Equal 5125756941966446973, -4994063787243116395"
"Equal 7665178897534460467, 7508039729523822650"
"Equal -5378257091395740019, -2611401066245153188"
"Equal -2350870290558116483, 1001328437276290541"
"Equal 7232493007317275571, 6268157963956683705"
"Equal -4046166718047527488, -8699018682317337477"
"Equal -889325530180554088, -6235817097035968470"
"Equal -979720631527876152, 934001971355009809"
"Equal 1587678781378352950, -4967401764452010126"
"Equal 9072495694317201797, -7644123505271591186"
"Equal 6684303969422480076, -8371864095524265857"
"Equal 7270828559960714505, 4510636844068253438"
"Equal 1674014784230649289, 940883631777767867"
"Equal -133536335463186556, 6607561159483505373"
"Equal -3258433502217139071, 2241004266358012927"
"Equal 7383853571393666880, -5457313290612800824"
"Equal -6188903845684537484, 4796131935432729268"
"Equal 2478240497993332271, 4146173075343901359"
"Equal 8123730640517396780, 450937903220819186"
"Equal -4685993836000539101, 2498337775614819303"
"Equal 5914466095809078000, 6047266385114547382"
"Equal 4869292078598908537, -980791872509182618"
"Equal 464128333987859268, 2818378603492273091"
"Equal 228092337772995884, -3609549597189894649"
"Equal 6019826571372109474, -5954069512365510932"
"Equal -8407645562086913981, 8063904074825988901"
"Equal 4956897599283726216, 2592579384350469131"
"Equal 2731263002658190165, 6967623363606404764"
"Equal 3761863363589067472, 96147058504226080"
"Equal -3873462591489745439, -1938605891921548339"
"Equal -8138475386363945833, 3743381055169857560"
"Equal 7598595306782818488, -8302370042799033271"
"Equal -7052016073657716970, 3523870719582700849"
"Equal 1003329036749490637, 8010937674995937452"
"Equal 6788819622685291850, -1878987402655132428"
"Equal 6386727780215889926, -4549291196749078894"
"Equal -3929776858224257213, -1556029792944290418"
"Equal -3717695974793783252, -7697899108637322581"
"Equal 1440322429408568376, 3610585776262184049"
"Equal -5963603564518171356, 1562512797587243228"
"Equal -2503746952411100188, 6006489135806282059"
"Equal -1463125998862928375, -7109192268953279449"
"Equal -5848364983453391957, 7946589038662940423"
"Equal 5019532581737141906, 6923371907249986469"
"Equal 8162019455958303470, -5189354208169916604"
"Equal 5705145827090330851, 7287361811430870623"
"Equal -3429533782040528929, 8085615984860822831"
"Equal -3189292834063230626, -2340209452206935424"
"Haskell lower 5272223785874704018, 675268198645027039"
"Equal 1193797277314027459, 5638108457462450709"
"Equal -7851835708757240167, -8391181035369029688"
"Equal 130013029719246358, 5941032671554614384"
"Equal 5669216396176338200, -170834351896883819"
"Equal -4793546873419208217, 589247145055237271"
"Equal 7302369279140300261, 7642482003756963920"
"Equal -8150756635344482158, -972582292868371287"
"Equal 6368319535661056848, -5545896658724585345"
"Equal -4117580965909016830, -737818883353159951"
"Equal 2847237529017405413, 3843238382837305381"
"Equal 3691561942939977027, -9100212017838533259"
"Equal -823783338875782771, 7464934253123652198"
"Equal -7607364004135840875, -5445929629279059891"
"Equal -4452639484584813718, 6621554828325879493"
"Equal 5179256294151541637, -7734499649246172545"
"Equal 6120802590521498013, -8583724703692316602"
"Equal -6344608700879077512, -1601033862630631286"
"Equal 7244749259512746456, 3529127589767043878"
"Equal -7821836299284713215, 5846410858032888387"
"Equal -5865320166742656335, 5329653932497399000"
"Equal -3841224461106480583, -7632658455522763238"
"Haskell lower -7037389390043005120, 3155696174612436357"
"Equal -6599588397206203792, -5586383706088218720"
"Equal -6097798450477659328, -5435635297770599701"
"Equal -5634104334178038466, -8933281675542665479"
"Equal 2268497921812548272, -3395850901581667631"
"Equal -1762923328960779542, 822550658398568857"
"Equal 6892600857123878224, 8576707462087934236"
"Equal -6136433832467922803, 8668779843796313485"
"Equal 5640041957227885155, 625773562409503836"
"Equal -6168582517948987543, -977421375390030485"
"Equal -6057109775056317961, -6956835613352511906"
"Equal -691169725068152559, -1735700844229531270"
"Equal 2321848737366432099, -8722007680992913632"
"Equal -3230573386786102532, -6975547037686952661"
"Equal 8619339403543345015, -6778436910991408468"
"Equal -8183601995723939419, -745430344409676332"
"Equal -5158287508495076248, -2781261898529540099"
"Equal 8245747970197115082, 4355338616185288328"
"Equal 1315124469919792906, 5892612165355478229"
"Equal 1491588221789116166, 374174309170146984"
"Equal 5019523822850700183, -195880132326943577"
"Equal 869392464473217309, -7362112370170637235"
"Equal 3539966301777086834, -8228530813550777410"
"Equal -4954736623396853846, 1362870927410462035"
"Equal -5733486990084524430, 6071791394748935243"
"Equal 8590322369881239946, -5590457990238258314"
"Equal 7721993186968903107, -330940653049908088"
"Equal 333709051542636019, -8679981814314029648"
"Equal -2457760293136913380, -5582791782381121336"
"Equal 6720652357203167161, -4584126582180607433"
"Equal -3548964877547208354, 6724888918097737311"
"Equal -3975606137179602510, 3409390201994708170"
"Equal -6624479213968111407, -5050943361764789240"
"Equal 4122613716720562212, -729931233996045449"
"Equal 837810854564693720, -6928268316407415602"
"Equal -78692598933697767, 442264598395504934"
"Equal -3347946617660225081, -5731777138079035978"
"Equal -4568535339856351351, 6173361646256882673"
"Equal 3645749112566473983, 6771855327599129234"
"Equal -9213679085947554770, -2200528364073447716"
"Equal 4867316840840091087, 2614898243591873840"
"Equal -5400377534464249779, 8418765860430446241"
"Equal 132778021077707409, 8062899143020519614"
"Equal 2568146970298164747, -6142340161777632730"
"Equal -3385969880731559711, -4821617811779853011"
"Equal -1260708809279647588, 4720427015158322395"
"Equal 1325899274931873105, 4841232470643101071"
"Equal 7649965910172747953, 5227209893159152051"
"Haskell lower -7203365298915863918, -6327409399024798903"
"Equal 8217453554524184388, -1398801975771763594"
"Equal -7890068838608222526, -5191944357369433728"
"Equal 7745698515392020402, 5771807181187646830"
"Equal 8983546281691099239, -4326161261657327602"
"Equal -8004126707684896327, -3054608814297601120"
"Equal -4611273337914760128, -2374037960807101248"
"Equal 6012070740140311347, -541499050065655872"
"Equal 6565475039371448392, -1307713975135559169"
