"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 50"
"errors: 2144"
"haskell demerits lower: 2144"
"seeds: "
"Haskell lower 6009205448225366152, 1021635173161217263"
"Equal 4115897950164157000, -3252171313098171931"
"Equal 3912000233813459299, 63086841491040445"
"Equal -7625475734736497004, -5184674767550174138"
"Equal -775052139095441651, -2639783023661548858"
"Equal 1618223801034451352, 2546091672769983657"
"Equal 6709566156460534935, 692248082622854239"
"Equal 2241153983764044293, -129848660573141801"
"Equal 7538344848210315765, 4251579168433188408"
"Equal -5037224888719218472, 5170714172091530330"
"Haskell lower -3578067917083396222, -7585831366548234949"
"Equal -7872044080243613667, 8080585762421753312"
"Equal -1383733781857862188, -6266450765963088152"
"Haskell lower -4215882605332403033, -4769526734428891144"
"Equal 4430731081331865308, -4965677915611883200"
"Equal -8933383425775087782, 988962313601265141"
"Equal -8385507295454948607, -8682688843808798755"
"Equal -7509359727502153602, -6968799762465734289"
"Equal 7689674876629619343, -7377012159134012358"
"Equal 3913206338075574087, 6740865717622778221"
"Equal -8790964448872373278, -4578996834039423745"
"Equal 6886505222034236752, -8502901512858976757"
"Equal -334723203817640224, 8942520216812202028"
"Equal 2679694841360303810, 2339018729047262928"
"Haskell lower -6861119015039135750, 6217522712297245374"
"Haskell lower -6140260478742595701, 5293762023815741671"
"Haskell lower 8425382762163912379, -9185819819094938882"
"Equal 649882655993799169, -3598777206009760158"
"Haskell lower -500673228988462493, -7280442153438999644"
"Equal 8076241939523905140, 4706870267651601671"
"Equal 4634988934711516236, 304075024167211262"
"Equal 3619291634869593257, 3642625956879019130"
"Equal -6716781592814729345, -8477616316860343207"
"Equal 688976490611767470, 3168098992536021533"
"Haskell lower -1905773415956004659, -3950735747334242483"
"Equal -5907145199766995564, 1817031353375454491"
"Equal 7456060137548289969, -9057787289308997636"
"Equal 7624095281431058562, -7578315646590808506"
"Haskell lower -7395197793915561264, -3297077717913495613"
"Equal -6644986790759991153, 2195073592173050394"
"Haskell lower -1567124328763622215, 8237191724498662878"
"Equal -3197724639343149583, 8171266980040551852"
"Haskell lower -3805192808138736, -7494096750874951176"
"Haskell lower -4219488669518412667, 5671353606842146800"
"Equal -3496392729468200174, 1429235822619298534"
"Equal 1989505803430199454, -6104445319124361168"
"Equal -6366144121982207821, 8246306293592887015"
"Equal 5387748841312577247, -1293032576338501749"
"Haskell lower 7385013587104566316, 3006399789003543547"
"Haskell lower 5592889266933266825, -5215116326147825699"
"Equal -8930383004839026271, 5351745387070404458"
"Equal 3156366038571114833, 360266706029867055"
"Equal 7360820758119091445, 3944756053612884784"
"Equal 6381823673997011110, -368693164291891563"
"Equal -3164518849586647740, -3321019257940824044"
"Equal 8480172526572999000, 6743744569062064598"
"Equal -8161362784167244973, -5051211708189620260"
"Equal -2560488363562453481, 5302911309497408118"
"Equal 3970190751112121787, 8470648650785831287"
"Equal -8600311574532361354, -1368090270398689136"
"Equal -89976858852017614, 976243553862795218"
"Equal 1144698817529485115, 1124652503912348601"
"Equal 2738478352607647676, -1785559414648091812"
"Equal 7050878983893687262, 4767334555748061894"
"Equal 2414458224884320401, -3470458980349271933"
"Equal 7144168020010419724, 347831570723284177"
"Equal -7811435679748792889, -7248936357889533383"
"Equal 9162068523456269601, 1696614192215144609"
"Equal 657375095844980244, 3772695956830220296"
"Equal 8633480413060785534, -7435851745198923975"
"Haskell lower 5085671921361265359, -1230392207039275522"
"Equal -1838586075143573793, -5945660369489715660"
"Equal 2013633561275252133, 9619842062311640"
"Equal 3553157863545475911, -7727661458164395925"
"Haskell lower 954520758939409091, -4906568506288900621"
"Equal -5332788487190730757, 6952331697942856465"
"Equal -7505619108698576016, -5800611928419973998"
"Equal -7972640959007641483, -4842461559758108394"
"Equal 1116010839156655731, 8065226224321308910"
"Equal -6699296901957201997, 4264257175166087090"
"Equal -5413857906739762611, 8648176177030077192"
"Equal -8867758089234115466, -6446794447162135151"
"Equal -1411638124952910696, -626447726370992749"
"Haskell lower 8033059397134312927, 2998240670452716591"
"Haskell lower 369348644940436365, -7778573788411129358"
"Equal -2865995176121681649, -2555255206807267923"
"Haskell lower 2355830654037188566, 5476378695876197065"
"Equal 25433627979968133, 6348276757015225144"
"Equal 3695377074961484700, 835683373850838531"
"Equal -5705599876044175689, 2101166092893372742"
"Haskell lower 1507519775379196498, 1081331628908677539"
"Equal 5228828830853126128, 8092753504191224310"
"Equal 3658667388616155648, -4689864035817627458"
"Haskell lower -7902576203668180917, -7440007434169039061"
"Haskell lower 5308252963362067410, -1062962132969320543"
"Haskell lower 5066598042829851430, -2645060638593551526"
"Equal 8405106930585876267, -1557595244312368430"
"Haskell lower -1680425361212166040, 562163211388252559"
"Equal -6656825205654518880, 7571057923523194264"
"Equal 7018866424429001871, -56387007512678479"
"Equal -337273255349887734, 7797695728357483878"
"Haskell lower -1826841789966173338, -799475744073215111"
"Equal -1571228124333436496, -6628885099311517196"
"Haskell lower 4313975068665633842, -2894636344208551458"
"Equal -3603573371491780473, 2477668028089656688"
"Haskell lower -7907830965190026594, 3598037182028820377"
"Equal -1386085287700119056, -6411147631520334806"
"Equal -9101791098955649613, -2644853530673677989"
"Haskell lower 8758207955911553341, 128977725432995358"
"Equal -1830249030772849462, 1193188037229921937"
"Equal -9197741888627566042, 3035766325564710825"
"Haskell lower -673835842996396290, 7459123463449790225"
"Equal -4977756562372817442, -5560986228458343542"
"Equal -6493850072441951806, 602764241720197464"
"Equal 5200752938065630089, -4733436137225035988"
"Equal 403478273823021161, -4423447647501795073"
"Equal 3069920224957938634, -3808779721129291616"
"Equal -1755814939876509234, -5735233587094382456"
"Equal -7473778779236535820, -587679992226419244"
"Equal 5308750636986025317, -2926090329738746710"
"Equal -6804596656626712454, -502260580193932234"
"Equal -2794730130949809164, 3659306892103623876"
"Equal 156890731995099884, 3175830410477790540"
"Equal -8978254412251999430, -7591737594208317360"
"Equal -6742205952807090621, 6780796017166550067"
"Equal 4677171009747783086, 7949072392918078770"
"Equal 2265459042149397407, 5667215341158999211"
"Equal 5385354961296884817, 7856506255733749417"
"Equal -3944949916761836228, 5515802107583620567"
"Equal 2902476361022603685, -1033166250547688592"
"Equal -6232870525540230737, 5817570200586485229"
"Equal -1054242078500063632, 3380082134496520232"
"Equal 512707363994071056, -8201881843154838622"
"Equal 6493899328986441069, 219229588962097813"
"Haskell lower 2987307669934659345, -6111770883660144539"
"Haskell lower 4090255925957768908, 2540171725955144265"
"Equal -400741539806328042, -8811280195402108198"
"Equal 365766513003868350, 1976888889162088652"
"Haskell lower 7953485465867050617, -3794058164255384126"
"Equal 4055702801572596497, 505921197584484332"
"Haskell lower 8880015513684759100, -6787475675182315745"
"Equal -6587120681235666809, -7375996263960784893"
"Haskell lower -1610689842624360604, -4488672944565839825"
"Equal -8477296797870753067, 3967396072893319854"
"Equal 3963031223462868610, 4358962871408871627"
"Equal -2999033940238702602, -8589443070829123413"
"Equal 2189943094361974215, 8336249711046021169"
"Haskell lower 7415545508059992801, 3854426966099722711"
"Haskell lower 9159793176486211982, 6126789370693111506"
"Equal -6476172916069626229, 1515442114491850915"
"Equal -2052769864721114228, 9039610835342365541"
"Equal -3313900432309113412, -1208436355107492435"
"Equal 8465032290046555280, -9183216166675866399"
"Equal 5695888337644709096, -432070383452625356"
"Equal -8127189344086559984, 3683150465016609529"
"Equal -4770067598447959692, 3365278198161887584"
"Haskell lower -3928119709188202383, 2159518234256576768"
"Equal -8567357497756564283, 1414149947304650915"
"Haskell lower -1275030543915330153, 6316154297029835947"
"Haskell lower -8770024618184072916, 6183529466178488393"
"Haskell lower -5502051054096470908, -4112128897437204206"
"Equal 4355914242111961974, 2118094789417340698"
"Equal -5263109554869096589, -4557638369103390195"
"Equal -3946543076996644417, -8333414330694474481"
"Equal -6725435685394635896, 2914757504306775495"
"Equal -2521340743448039822, 2092180861966566186"
"Equal -2261828163642070384, -5627421788074728692"
"Haskell lower 7206061221940238552, 2447370927203605646"
"Haskell lower -1225773070650789112, 5170805422801396187"
"Haskell lower -3024335293139657581, -1284540358221456331"
"Equal 2175161698040472559, 2781837884724403403"
"Equal -3185461474960079265, -8701906166510739904"
"Equal -566389063344049134, -267190340443165275"
"Haskell lower 6908179651915873987, -7598400358716619806"
"Equal 3506122596006423677, 2192625473793450520"
"Equal 3149260815015161652, -2360255388859458573"
"Equal 2643497278766206166, 6047936330266343632"
"Haskell lower 8956317401688318657, 986110369659517571"
"Equal 7107367865879025029, 3642190168601424744"
"Equal 3045019466879193341, -5273423621957550500"
"Haskell lower -1740607975706703239, -1488822781563067853"
"Equal -75609426889304479, 7721259224566126330"
"Haskell lower -532106023692875847, -7336003512062894086"
"Equal 4288207373770599854, -3497564683768846371"
"Equal -7403760555289897710, -387824425529220419"
"Equal -8017036098725124622, 2294907772714631701"
"Haskell lower 619259430147351366, -6282517709254955059"
"Equal -2417201539331231986, 1140306096533016830"
"Equal -4023011507852636990, 7728707499587464701"
"Equal 7423518648345450630, -7575273751632819154"
"Equal 8919810662102397748, -1664206931495024764"
"Equal 5368480720636496137, -6666726472092917504"
"Haskell lower -6006585951102919918, 2822553735024237246"
"Equal 7004797551850362886, 6412736169269270653"
"Haskell lower 6559205523170359969, -1821275680014600349"
"Haskell lower 314514095211088375, -8850083282375574082"
"Equal 6506862761513018831, 8322906765454042503"
"Haskell lower -8502864492032754462, 8032212917391304630"
"Equal 6219422776435840521, 5951327059145386007"
"Haskell lower -9109405821035437934, 8238603023855260471"
"Equal 4733013451916362803, -69992322705709200"
"Equal -5132739151502826312, -8685973809341184449"
"Equal -3138840194574578622, 4694420482708522545"
"Equal -8771087007028339880, -6567000521461300099"
"Haskell lower -8617017588138420932, -5700469045000685364"
"Equal -1418758405043489053, -7015575196572296403"
"Equal 5988520894886820730, -743496793809123436"
"Equal 877334944397994982, -4075950666829468685"
"Equal 2354218897308025892, 8308500484714424429"
"Equal -4536150199825812857, 2634751263205638133"
"Haskell lower -7500989024150271249, 1070789181445400587"
"Equal -5613056032074582499, -8266980220969695620"
"Equal -5586300916349307244, 1545968215856503564"
"Haskell lower -6635342751524892856, 771268636773539621"
"Equal 3371588235909642973, 4454873291618144297"
"Equal -5126420232202706846, -3314520325323091929"
"Haskell lower 5321692064121624806, 7198525100709556532"
"Haskell lower 7656777887491149990, -7187416723382988829"
"Haskell lower 8133252281964113951, 1660384351868870178"
"Equal 5096407948299470075, -3129620724971469950"
"Equal 8983954470092461522, 1575268026821829199"
"Equal -2899790039384338549, 2328633553027234503"
"Equal 8526031576063640572, 6852539017315950242"
"Equal 6241929441070250395, -5939955987002438353"
"Equal 533437838956914742, 8541946387443728164"
"Equal -3480214083050175601, 7727291221170755330"
"Haskell lower -7097003167420783006, -5212973186362961874"
"Equal -2374953736543352894, -4077125174515011390"
"Haskell lower 3175775531167484215, 3163341469763386430"
"Equal 1958958609557675765, -429184953331709369"
"Equal 7112661033031658486, 3104509310908568317"
"Haskell lower -948945690541442553, -8331686400998122966"
"Equal -213801930769193457, -6207671076183935469"
"Equal -3359991680614685076, 452319156021737979"
"Equal -8228137207201467879, -7842956655334208319"
"Equal -8236885897992488134, 8988667779407828736"
"Equal 3452165170279183486, -5354230168411191294"
"Equal 4692152269873257604, -7352388844101402146"
"Equal 5166011770392050019, -7952573429654399022"
"Equal -17603499503941741, -212545747809551968"
"Equal -198662645589287791, -5072555092621826224"
"Equal -4629160168957616585, 996813249623435919"
"Haskell lower 7440652590122673919, -5970651560672877379"
"Equal 194781840109258535, -1755695640750209342"
"Haskell lower 5431119297499670808, -3763110570562691495"
"Equal 7717729881142879487, 5040935682866501929"
"Equal -4804165290586145367, -4484525956688317708"
"Equal 8089997438255184488, -2424158937314233457"
"Equal 7647458353640049040, 3952764888475362085"
"Equal -765381555399503581, -1978647183539348082"
"Haskell lower -6146740895960097315, 904951134080264738"
"Haskell lower -6577939381681882757, 3725143956754135922"
"Equal -4482335907488672118, 2018846977771755679"
"Equal 2813047674174506779, -1378040651777646364"
"Equal -7814612545220414575, 9084011526483236575"
"Haskell lower 3707587429877343349, 2397134820268724516"
"Equal 5900820962686723408, 3874659278409565019"
"Haskell lower -565097280876155054, 8858853832951196907"
"Equal -272881049641573791, 5557440456648092380"
"Equal -577501840662349884, -2204004223538121935"
"Equal -1784747066486425275, 5387531670786674950"
"Equal 3690584538828565895, -2047806270083589193"
"Equal 1508291097942062804, 3521945990799952192"
"Haskell lower -8899025510555223280, -1545268408625770959"
"Equal 3658862846081350258, 1222915858376573449"
"Equal -3740301054289878677, 2366605392747057110"
"Haskell lower 1972084163552456938, -1148754872317066806"
"Equal -3437840101163732441, 7406419627016247800"
"Haskell lower -8257174386028068623, 3436502089318261022"
"Equal 6668819214779322552, 1212958411091412743"
"Haskell lower 5286107068215077483, -499727004280974237"
"Equal 352794391127033342, 5745655413903294765"
"Haskell lower -5791793139811502224, 8049472328717512102"
"Equal 2764736083652360426, -6988911859207618068"
"Equal 5762343138069943586, 380933444730051078"
"Equal 6876887973105284673, -2289790877743956468"
"Equal 4312520369601014193, -6993024732756741337"
"Equal -1732204587901771757, 2306133362057997555"
"Equal -1386039636058416151, 697565702564283452"
"Equal 7673339621535292175, 5984471194696370992"
"Equal -3034989854321732887, 571986898419272960"
"Equal 7393538802544330884, 2855721778972650504"
"Equal 4993470213881895928, -4366185784090649465"
"Equal 4415007395409648044, 4798869923855888308"
"Equal 3858321006584013008, 2731020483001952644"
"Equal 8356128275158319842, 9126876268848803099"
"Equal -4505740607195792485, -5201640811885276185"
"Equal -171396746607836763, -1183071950956089555"
"Haskell lower -3134893482328999263, -6027999517200159415"
"Equal -8246785349421389847, 3186375858484445524"
"Equal 1158665992238409925, -3477685920012279576"
"Haskell lower 4155213358159346563, 3757486311051538773"
"Equal 6311782613189057847, 6381750910140049069"
"Haskell lower 7859366681803541696, 3161245998428995804"
"Equal 4715012430879040225, 2377749656931431132"
"Equal -7069050322609672606, 8205596895500830802"
"Equal 1951463277431343769, -1443747147565098572"
"Equal 6417200345412600620, 832971557391505113"
"Equal 1559043418943512750, -6658684419501937180"
"Haskell lower -7779651686389379448, 8388648017790264629"
"Equal -4874315007819095467, -4136084496308416914"
"Equal 1321430112021371923, -8733798769216780828"
"Equal 4028579181620544111, 6068619467507796368"
"Equal -2486970318415088960, 1510885558470415773"
"Equal 5386632963340878274, 5871647248306016429"
"Haskell lower 4769533474107328558, 2716602714781248201"
"Haskell lower -2319310438323925299, -3039483406527481481"
"Equal -2801564964451652438, -507506456005818334"
"Equal -2305691487142141973, -7524175654816657123"
"Equal 5380162873840284535, 3755160815056978546"
"Equal -6902740195876108034, 2431443085351916968"
"Haskell lower -7938904497494679311, -7187984192456345422"
"Haskell lower -1292942454031300148, -5331416628459314125"
"Haskell lower -8674206509125461749, -7403483947915012420"
"Equal 4862964897750734344, -8359909635264921261"
"Equal 7578476368605670212, -8784978548109087122"
"Haskell lower 4416662326283520717, -515861929863177254"
"Equal -3704619173351845810, -5960799270140161300"
"Equal 512302920140599404, 4761553738669561155"
"Equal 5931390862968713950, 7557315819026019735"
"Equal 1450131472245249023, 5360287541317063824"
"Equal 1373168335428880631, -2472415645110333952"
"Haskell lower -9023051420215108588, 5184408367923958097"
"Haskell lower 5862168840110273389, -8871371502438008327"
"Equal 7138994061058843461, -7893761348964305535"
"Haskell lower 7623353781269052453, 6972082795187905313"
"Equal -8661662517782707387, -7983516867031334130"
"Haskell lower -2179369198503142178, 5522760041528805748"
"Equal 6176534053289736469, 6186559258733007393"
"Equal 4173962829484859017, 3405906335167507432"
"Equal -4323650287674305780, -8027402333024409053"
"Equal 2628597779556368284, 2873572158560170903"
"Equal -1154881408869562175, -2808505081631541573"
"Equal 7574569517486914487, 6924656583090404905"
"Equal -4274755070597414551, -2663746821748770509"
"Haskell lower -7337825363861248748, 4365851641736650630"
"Equal 3186652875244589792, -1683437102767812361"
"Haskell lower 4621397860195810621, -320240573731659801"
"Equal -3004769646206550889, -3872862792780865768"
"Equal 4586781925400497408, 2296816687103655724"
"Haskell lower -6504077719814605828, 7557393455349536856"
"Equal -4807180587166424537, -6426037161404182223"
"Equal 4029879560176734734, 1287200561359569184"
"Equal 6166601688819746983, -3840474581391041599"
"Equal 5395544141138344747, 7487228451319253313"
"Equal 961703191258680231, -6968040928187290885"
"Equal 7213421485212309018, -2119150497752764300"
"Equal 6199045082936193274, 6603046711531554020"
"Equal 4792682481288498325, 2605435496970642404"
"Equal -3377003523410767257, 4636922540837793556"
"Haskell lower -387957656528818213, -3200995915117684934"
"Equal -729383017078684072, 7711172483515578254"
"Equal 3487318633042222840, 4116465294924299066"
"Equal -6817011203926232681, -2667212404357190577"
"Equal 3496699810517707815, 2914218082414687614"
"Haskell lower -973469393218045688, -1371342338372245091"
"Equal 637751651376284889, 9052198165262992919"
"Haskell lower 4514263015157938102, 3453915754141856380"
"Equal -4862352060842739904, 5035425959616392886"
"Equal -6794440451358768214, -309414414974941391"
"Equal -2873075213180166081, 1334312259115906172"
"Equal 6983066464739614862, -9152752452079663354"
"Equal 6847725339006783382, 2995390602623723494"
"Equal -2883698809556286900, -8287510452506584123"
"Equal -5721513512106359349, 2243215537610035808"
"Haskell lower -3444749539259442780, 4254424858769276263"
"Equal -832543237024717790, -6328981798809733155"
"Equal 3285502040606344632, -1850057647001375407"
"Equal 8786877970978454142, 3670853639867237888"
"Equal 2738774351623303333, -4596100942409755931"
"Haskell lower -2866749245425873377, 2730324746198759751"
"Equal 8148311400381973627, 4198462945230129044"
"Equal -1599677095481537955, 6799868380758450450"
"Haskell lower 8068526653076904826, 9061927087119084300"
"Equal -39307876248720424, -8582085780822427581"
"Equal -7069015624127567971, 2978178955662614796"
"Haskell lower 4286263440191087846, -2258071456340526985"
"Equal -160561619102399637, 516129474540299673"
"Haskell lower 543567547789955346, -2143343183410893981"
"Equal -268590551589042735, -3384171482805559534"
"Haskell lower 1748762218255548823, -93838715683661076"
"Equal -9179070582865267228, 8034767943009352071"
"Equal 389918567915358453, -2048571286456965175"
"Equal -8759782759958907549, 4008807317541470688"
"Equal -985847454697521073, -6722409273898469013"
"Equal 5848519628630730380, -8795916259184535956"
"Equal 4821428395390750387, -808380485945182967"
"Equal 4158825191630222286, -7316571560670148969"
"Equal -7809510736042783943, -1854070293611896256"
"Equal 7119427102824667209, 8386431186977314672"
"Equal 501132209331915603, -8775749201561335667"
"Equal 6493092785811536341, 296467585983044765"
"Equal -8024107988335476851, -3048449623497320238"
"Equal -2110757212176989612, -3812451721453132616"
"Equal -7113489235442926317, -6132168257640175362"
"Equal 2205844716738889678, 1784190683211133568"
"Haskell lower -1600673820307094651, 4116840686001296153"
"Equal 125250032469381073, -8430435513869124119"
"Equal -5305346392368263102, 388187159482227801"
"Haskell lower -7436160997655985665, 7837031389894381459"
"Equal 5602474667542145936, -6833469432608170092"
"Equal -8463882552930532489, 8858893707278103536"
"Haskell lower -3551352419084912869, 665285972545535213"
"Haskell lower -1864641263342696862, 8804068836679788040"
"Equal -4805496659750212146, -2358354446135077345"
"Equal -8058625702411418198, -644207668533718912"
"Equal 2794555157038177468, -7260785681645979638"
"Haskell lower -8580700156607001609, 1919971584060155433"
"Equal -5796849316797867964, -552985965863806037"
"Equal 9011687401846855431, 4029466218409336177"
"Equal -45918982470493240, 4112849107844598662"
"Equal 4578865003008502830, 2580671374899841271"
"Equal 444807599412020694, -1214893366751249907"
"Equal -3757498482796642319, 1003661290218747753"
"Equal -1486391818317577717, 4590121283749510520"
"Equal 6158590135098781276, 1636315834672027175"
"Equal -2894335168669212533, 3503081631677170768"
"Equal 407286364092043603, -862779150502000796"
"Equal -4826210644361376590, -4842707190253595447"
"Equal -3568582474264185597, -2612354448522744291"
"Equal -8248693071308669200, 7458133849886127406"
"Equal 1113738738740524098, 4039218220856112504"
"Equal 3717073212408288048, 7614999026076631205"
"Equal -418037886750376424, 5816108508903193703"
"Equal 1163194875494045367, -2901242476426954975"
"Equal 1026088960202003997, -3714746808335557369"
"Haskell lower 1484959738543406609, -3811854138850230259"
"Equal -4002746495878681403, -5930328943160739872"
"Equal -1637508359611106035, 7634163606024419863"
"Equal 3592658460997050892, -7030667906333244076"
"Equal -7104864180185262053, 800176605413714440"
"Equal 7263636979632369156, 5419322094691594753"
"Equal 4344215637009968081, 2342370030134690802"
"Equal 8947002975980609449, 6638261413390441084"
"Equal 6025001872668166807, 3749856236575647161"
"Equal 3071554934393747393, -7817752058982249861"
"Equal -2711824628302839521, -1694231437909756043"
"Equal 727086058025420890, -2950648244007486297"
"Haskell lower 4109469635613035774, -2427373051277965861"
"Haskell lower 1978542095214750508, -1398245697817363579"
"Haskell lower 4052124749636615827, -6064083361448111585"
"Equal -3318886854037845644, -9138973223917318100"
"Haskell lower -6812382601796874255, -6710033555263221201"
"Equal 7317889910514013325, 2887365684022224910"
"Equal -7589987683963816583, 3521368088497830415"
"Haskell lower -3654962586161158319, -3721543513540294397"
"Equal 6817402620944440398, -1275316741564994587"
"Equal -4619048674959501135, 3784087011196608257"
"Equal 5415666456319259009, 7111243982516368676"
"Equal -391958870022322308, 615461213338243970"
"Equal 5446590768715256110, 472663209425565644"
"Equal -411700999358177768, 5161273923874553032"
"Haskell lower 7400794357113416878, 754710663498443620"
"Equal -3435691065309082422, -850454725819145688"
"Equal 8027827081412280769, -1513967324811290389"
"Haskell lower 8772656762362496336, 4755209152039061375"
"Equal 6431816544828243769, -5225326897755800076"
"Haskell lower 5531314933049448597, -5848384945040147624"
"Equal -164762386723692018, -715431507941584304"
"Haskell lower -5252306193591841115, 5361870031710367184"
"Equal -5034207130118887313, -4741766752411437137"
"Equal 8228556802972539091, 6596538956224802156"
"Equal 2266561819773841741, -8603799453725241780"
"Haskell lower 1381846935174237815, -3651552086202660389"
"Equal -5821572021820903157, 2225414446264896638"
"Haskell lower 8477639947451066179, 2079572450600390979"
"Equal -7569185021896428795, -8071777214761112081"
"Equal -5583998618136597154, 672896474476358093"
"Equal 3290515073463356187, 3240418443882178499"
"Equal 8476527459623333188, -5436085923674093248"
"Equal -7550589864634809311, -5671613862636897052"
"Equal -1384702639028047203, 8925328818230822509"
"Equal 916726106688701686, 5030446681631479471"
"Equal 8186687438296406714, -2387051327801986851"
"Haskell lower 4614987210767948538, -1558015455392006081"
"Equal 8338315458510352113, 6571582893649840767"
"Haskell lower 1053924997250348677, 6800887767598561756"
"Equal 6917487526608991308, 8819002319831914247"
"Haskell lower 7789370163232497454, 6330491429044231903"
"Haskell lower 2782947977546118322, -618968013294526650"
"Equal 7735074916483074414, -8521160915203341267"
"Equal -9048414164428552287, -6747755359143895744"
"Equal -1477491325311098624, 7194137983862668336"
"Equal 9004960109735341241, -3204218355976302098"
"Equal 4743607304417520102, 8844770384993665346"
"Equal 2878781107350114502, 9002840260067539782"
"Haskell lower -1609716024933686739, -4390980863127251641"
"Equal 8236221849082039701, 5741879890377480049"
"Haskell lower -9128559477055187066, 8606820274824612"
"Equal 8134634435765111480, 9042382999725328178"
"Equal 6003485450015194828, 1348285642743466810"
"Haskell lower 3612557478706592348, -3542521028383670"
"Equal -5132598327167869762, -7511603511876341343"
"Equal 2870254567155728467, -2901693522223673618"
"Equal -7906893918102107847, 9123994360317333614"
"Equal -2475161434472978869, -7001082254991601971"
"Haskell lower -6291338826320824444, -8274164336198344066"
"Equal 1773425131950447256, -4599689331908599022"
"Equal 4505324497350439587, -6883422882501541324"
"Equal -1506443773930451458, 927270603162734342"
"Equal 4524119582955122495, -541515741122901046"
"Equal 2437874567188474958, 2844647371433770012"
"Haskell lower -8364492952515428638, 6928096977389314358"
"Equal 7558057258460103788, -9039649030138172113"
"Equal 2365776661036454532, -3015562488954087471"
"Equal -8817840761642052479, 148444580753301775"
"Equal -639430997578278466, -2150936572390876567"
"Equal 8721945003315219846, 7223713338513356713"
"Equal -6227298783018246387, -4229300386261965825"
"Equal -8004888248874938002, -8708474409743038237"
"Equal -5827555164292490150, -2034371419257303331"
"Equal 8771301660816790417, 6654817147740653555"
"Equal 8624658828143506236, 3136575893187573661"
"Haskell lower 4012886258240232876, 6207974326277267917"
"Equal 8142453806556292427, -3966599074193764774"
"Equal 3201404610449403616, 7399819461984075590"
"Equal -8891558301339615578, -246565699133166868"
"Equal -6332482105651983975, 7396051544114415626"
"Equal 3655817989692947034, 1408726213645468506"
"Equal 8901491902287120737, -5291577883650932583"
"Equal 6068182264477844963, -6193183966847439043"
"Equal 1147439803024083508, 5973778727194519732"
"Haskell lower 3037996689969075071, 4887925643593238263"
"Equal -6021691718202503871, 7683897071889679958"
"Equal -7705601545694687612, 4306759878866596469"
